,takeaway_count,IMD_Score,population,takeaway_density_per_1000,obesity_rate
count,28.0,28.0,28.0,28.0,28.0
mean,131.71428571428572,23.067836138578006,282218.5,0.5148003468388456,57.66215642857143
std,163.10979195868114,6.041391317763757,83888.14432612919,0.6686996254538843,6.13053091940791
min,1.0,8.319,15111.0,0.0024688310085174,45.58075
25%,14.75,18.261332720588236,221902.75,0.0651159384068854,53.0380575
50%,44.0,23.950304054054055,300391.5,0.16553963542869043,58.39591
75%,208.25,27.617137337662335,332744.25,0.7892203483268474,60.910655
max,671.0,32.917840000000005,409342.0,3.092978339932609,71.65536
