,takeaway_density_per_1000,IMD_Score,obesity_rate
takeaway_density_per_1000,1.0,0.14979321792399702,-0.22679404691798272
IMD_Score,0.14979321792399702,1.0,0.037034729444716134
obesity_rate,-0.22679404691798272,0.037034729444716134,1.0
